english,tag,definition
depart,verb,"1. to leave a place, especially to start a trip 2. to leave your job 3. to die. People say ‘depart this life’ to avoid saying ‘die’."
dependent,adjective,1. needing somebody/something in order to survive or be successful 2. addicted to something (= unable to stop taking or using it)
deposit,noun,1. a sum of money that is given as the first part of a larger payment 2. a sum of money that is paid by somebody when they rent something and that is returned to them if they do not lose or damage the thing they are renting
depressed,adjective,1. very sad and without hope 2. affected by the medical condition of depression
depressing,adjective,making you feel very sad and without enthusiasm
depression,noun,"1. a medical condition in which a person feels very sad, anxious and without hope and often has physical symptoms such as being unable to sleep, etc. 2. the state of feeling very sad and without hope"
depth,noun,1. the distance from the top or surface to the bottom of something; a particular distance down from the surface of something 2. the distance from the front to the back of something
derive,verb,derive from something or be derived from something: to come or develop from something
description,noun,"1. a piece of writing or speech that says what somebody/something is like; the act of writing or saying in words what somebody/something is like 2. of some, etc. type"
desert,verb,1. to leave somebody without help or support 2. to go away from a place and leave it empty
deserter,noun,"a person who leaves the army, navy, etc. without permission "
deserve,verb,"1. to do something or show qualities that mean a particular reaction, reward or punishment is appropriate 2. used to say that you admire somebody because they have done something difficult or unpleasant"
desire,verb,1. to want something; to wish for something 2. to be sexually attracted to somebody 3. to be bad or unacceptable
desire,noun,1. a strong wish to have or do something 2. a strong wish to have sex with somebody 3. a person or thing that is wished for
desperate,adjective,1. feeling or showing that you have little hope and are ready to do anything without worrying about danger to yourself or others 2. giving little hope of success; tried when everything else has failed
desperately,adverb,"1. in a way that shows you have little hope and are ready to do anything without worrying about danger to yourself or others 2. extremely, especially when talking about bad situations 3. very much, especially when talking about difficult or bad situations"
destruction,noun,the act of destroying something; the process of being destroyed
detached,adjective,1. not joined to another house on either side 2. showing a lack of feeling 3. not influenced by other people or by your own feelings
detail,verb,"1. to give a list of facts or all the available information about something 2. to give an official order to somebody, especially a soldier, to do a particular task 3. to clean a car carefully and completely"
detailed,adjective,giving many details and a lot of information; paying great attention to details
detect,verb,"to discover or notice something, especially something that is not easy to see, hear, etc."
detective,noun,"1. a person, especially a police officer, whose job is to investigate crimes and catch criminals 2. a person employed by somebody to find out information about somebody/something"
determination,noun,1. the quality that makes you continue trying to do something even when this is difficult 2. the process of deciding something officially 3. the act of finding out or calculating something
developer,noun,"1. a person or company that buys land or buildings in order to build new houses, shops, etc., or to improve the old ones, and makes a profit from doing this 2. a person or a company that designs and creates new products 3. a chemical substance that is used for developing photographs from a film"
diabetes,noun,a medical condition in which the body cannot produce enough insulin to control the amount of sugar in the blood
dialogue,noun,"1. a conversation in a book, play or film or in language teaching materials 2. a formal discussion between two groups or countries, especially when they are trying to solve a problem, end a disagreement, etc."
dietary,adjective,connected with or contained in the food that you eat and drink regularly
differ,verb,1. to be different from somebody/something 2. to disagree with somebody
dig,verb,"1. to make a hole in the ground or to move soil from one place to another using your hands, a tool or a machine 2. to remove something from the ground with a tool"
digger,noun,1. a large machine that is used for digging up the ground 2. a person or an animal that digs 3. a man
digit,noun,"1. any of the numbers from 0 to 9 2. a finger, thumb or toe"
dinosaur,noun,"1. an animal that lived millions of years ago but is now extinct (= it no longer exists). There were many types of dinosaur, some of which were very large. 2. a person or thing that is old-fashioned and cannot change in the changing conditions of modern life"
dioxide,noun,a substance formed by combining two atoms of oxygen and one atom of another chemical element
director,noun,"1. one of a group of senior managers who run a company 2. a person in charge of a film or play who tells the actors and staff what to do 3. a person who is in charge of a particular activity or department in a company, a college, etc."
disability,noun,1. a physical or mental condition that makes it difficult for somebody to do some things that most other people can do 2. the state of having a physical or mental condition that makes it difficult to do some things that most other people can do
disabled,adjective,1. having a condition that makes it difficult for you to do some things that most other people can do 2. people who are disabled
disagreement,noun,1. a situation where people have different opinions about something and often argue 2. a difference between two things that should be the same
disappoint,verb,1. to make somebody feel sad because something that they hope for or expect to happen does not happen or is not as good as they hoped 2. to prevent something that somebody hopes for from becoming a reality
disappointment,noun,"1. the feeling of being sad because something has not happened or been as good, successful, etc. as you expected or hoped 2. a person or thing that is disappointing"
disc,noun,1. a thin flat round object 2. a CD or DVD
discipline,noun,1. the practice of training people to obey rules and orders and punishing them if they do not; the controlled behaviour or situation that is the result of this training  2. a method of training your mind or body or of controlling your behaviour; an area of activity where this is necessary
discipline,verb,"1. to punish somebody for something they have done 2. to train somebody, especially a child, to obey particular rules and control the way they behave 3. to control the way you behave and make yourself do things that you believe you should do"
discount,verb,1. to take an amount of money off the usual cost of something; to sell something at a discount 2. to think or say that something is not important or not true
discourage,verb,"1. to try to prevent something or to prevent somebody from doing something, especially by making it difficult to do or by showing that you do not approve of it 2. to make somebody feel less confident or enthusiastic about doing something"
disguise,noun,1. something that you wear or use to change your appearance so that people do not recognize you 2. the art of changing your appearance so that people do not recognize you
disgusting,adjective,"1. extremely unpleasant 2. making you feel shocked, upset or angry"
dishonest,adjective,not honest; intending to trick people
dishonesty,noun,the fact of being dishonest
disk,noun,"1. a thin flat round object 2. a device for storing information on a computer, in the shape of a round flat plate that spins (= turns) to give access to all parts of its magnetic surface, which records information received in electronic form"
dismiss,verb,1. to decide that somebody/something is not important and not worth thinking or talking about 2. to put thoughts or feelings out of your mind
disorder,noun,1. a condition or illness that causes problems with the way part of the body or brain works 2. an untidy state; a lack of order or organization 3. violent behaviour of large groups of people
display,noun,"1. an arrangement of things in a public place to inform or entertain people or advertise something for sale 2. an act of performing a skill or of showing something happening, in order to entertain"
display,verb,"1. to put something in a place where people can see it easily; to show something to people 2. to show a quality, feeling, skill or type of behaviour; to show signs of something"
distant,adjective,1. far away in space or time 2. not like something else
distinct,adjective,"1. easily or clearly heard, seen, felt, etc. 2. clearly different or of a different kind 3. used to emphasize that you think an idea or situation definitely exists and is important"
distinguish,verb,"1. to recognize the difference between two people or things 2. to be a characteristic that makes two people, animals or things different"
distract,verb,to take somebody’s attention away from what they are trying to do
distribute,verb,"1. to give things to a large number of people; to share something between a number of people 2. to send goods to shops and businesses so that they can be sold 3. to spread something, or different parts of something, over an area"
distribution,noun,1. the way that something is spread or exists over a particular area or among a particular group of people 2. the act of giving or sharing something out among a number of people 3. the system of transporting and delivering a product
district,noun,"1. an area of a country or town, especially one that has particular features 2. one of the areas that a country, town or state is divided into for purposes of organization, with official boundaries (= borders)"
disturb,verb,"1. to interrupt somebody when they are trying to work, sleep, etc. 2. to make somebody worry"
dive,noun,1. a jump into deep water with your head first and your arms in front of you 2. an act of going underwater and swimming there with special equipment
dive,verb,"1. to jump into water with your head and arms going in first 2. to swim underwater wearing breathing equipment, collecting or looking at things"
diverse,adjective,very different from each other and of various kinds
diversity,noun,"1. a range of many people or things that are very different from each other 2. the quality or fact of including a range of many people or things 3. the practice or quality of including or involving people from a range of different social and ethnic backgrounds and of different genders, religions, etc."
divide,noun,1. a difference between two groups of people or two things that separates them from each other 2. a line of high land that separates two systems of rivers 3. to reduce or get rid of the differences that exist between two things or groups of people
diving,noun,1. the sport or activity of diving into water with your head and arms first 2. the activity of swimming underwater using special breathing equipment
division,noun,1. the process or result of dividing into separate parts; the process or result of dividing something or sharing it out 2. the process of dividing one number by another
divorce,noun,1. the legal ending of a marriage 2. an act of separating two things; the ending of a relationship between two things
divorce,verb,"1. to end your marriage to somebody legally 2. to separate a person, an idea, a subject, etc. from something; to keep two things separate"
document,verb,"1. to record something in the form of a written document, photograph, film, etc. 2. to support or accompany something with documents"
dog,noun,"1. an animal with four legs and a tail, often kept as a pet or trained for work, for example hunting or guarding buildings. There are many types of dog, some of which are wild. 2. a male dog, fox, wolf or otter"
domestic,adjective,1. of or inside a particular country; not foreign or international 2. used in the home; connected with the home or family
dominant,adjective,"1. more important, powerful or easy to notice than other things 2. a dominant gene causes a person to have a particular physical characteristic, for example brown eyes, even if only one of their parents has passed on this gene"
dominate,verb,"1. to control or have a lot of influence over somebody/something, especially in an unpleasant way 2. to be the most important or noticeable feature of something"
donation,noun,"1. something that is given to a person or an organization such as a charity, in order to help them; the act of giving something in this way 2. the act of allowing doctors to remove blood or a body organ in order to help somebody who needs it"
donkey,noun,"1. an animal of the horse family, with short legs and long ears. People ride donkeys or use them to carry heavy loads. 2. a very long time 3. to talk too much, especially about things that are boring or not important"
doorbell,noun,a bell with a button outside a house that you push to let the people inside know that you are there
doorstep,noun,"1. a step outside a door of a building, or the area that is very close to the door 2. a thick piece of bread, usually one that is made into a sandwich 3. very close to where a person lives"
doorway,noun,"an opening into a building or a room, where the door is"
dorm,noun,"1. a building for university or college students to live in 2. a dormitory (= a room for several people to sleep in, especially in a school or other institution)"
dot,noun,"1. a small round mark, especially one that is printed 2. a symbol like a full stop used to separate parts of a domain name, a URL or an email address"
double,noun,a number or amount that is twice as much or as many as another number or amount
double-click,verb,"to choose a particular function or item on a computer screen, etc. by pressing one of the buttons on a mouse twice quickly"
down,adjective,1. moving or directed downwards or away from a place 2. sad or depressed
downtown,adjective,"in, towards or typical of the centre of a city, especially its main business area"
downtown,adverb,"in or towards the centre of a city, especially its main business area"
downtown,noun,"the centre of a city, especially its main business area"
downwards,adverb,"1. towards the ground; towards a lower place or position 2. towards a lower level, amount or price"
dozen,noun,1. a group of twelve of the same thing 2. a group of approximately twelve people or things
draft,verb,"1. to write the first rough version of something such as a letter, speech, book or law 2. to choose people and send them somewhere for a special task 3. to order somebody by law to join the armed forces"
draft,noun,1. a rough written version of something that is not yet in its final form 2. a written order to a bank to pay money to somebody
drag,verb,1. to pull somebody/something along with effort and difficulty 2. to take hold of something and pull it
dramatic,adjective,"1. sudden, very great and often surprising 2. exciting and impressive"
dramatically,adverb,1. very suddenly and to a very great and often surprising degree 2. in a way that is exciting and impressive
drawer,noun,"1. a part of a piece of furniture such as a desk, used for keeping things in. It is like a box in shape and has a handle on the front for pulling it out. 2. a person who produces a drawing or design 3. a person who writes a cheque (= a printed form that you can write on and sign as a way of paying for something instead of using money)"
drawers,noun,"knickers or underpants, especially ones that cover the upper parts of the legs"
dreadful,adjective,"1. very bad or unpleasant 2. used to emphasize how bad something is 3. causing fear, pain or difficulty"
dress,noun,"1. a piece of clothing that is made in one piece and hangs down to cover the body as far as the legs, sometimes reaching to below the knees, or to the ankles 2. clothes of a particular type"
drink,noun,1. a liquid for drinking; an amount of a liquid that you drink 2. alcohol or an alcoholic drink; something that you drink on a social occasion
drink-driving,noun,driving a vehicle after drinking too much alcohol
drive,noun,1. a journey in a car or other vehicle 2. the equipment in a vehicle that takes power from the engine to the wheels
driver,noun,"1. a person who drives a vehicle 2. a club with a large head, used for hitting the ball long distances from the tee"
driveway,noun,a wide hard path or a private road that leads from the street to a house
driving,noun,1. the way that somebody drives a vehicle; the act of driving 2. to be the person in control of a situation
drop,verb,1. to allow something to fall by accident; to fall by accident 2. to make something fall deliberately; to let yourself fall
drought,noun,1. a long period of time when there is little or no rain 2. a long period of time when there is a lack of something that is needed or wanted
drugstore,noun,"a shop that sells medicines and also other types of goods, for example cosmetics"
drumstick,noun,1. a stick used for playing a drum 2. the lower part of the leg of a chicken or other bird that is cooked and eaten as food
drunk,noun,a person who is drunk or who often gets drunk
duke,noun,"1. a nobleman of the highest rank 2. (in some parts of Europe, especially in the past) a male ruler of a small independent state"
dull,adjective,1. not interesting or exciting 2. not bright or shiny
dump,verb,"1. to get rid of something you do not want, especially in a place that is not suitable 2. to get rid of somebody/something or leave them for somebody else to deal with"
dune,noun,"a small hill of sand formed by the wind, near the sea or in a desert"
duration,noun,"1. the length of time that something lasts or continues 2. until the end of a particular situation, especially a war"
dustbin,noun,"a large container with a lid (= cover), used for putting rubbish in, usually kept outside the house"
duvet,noun,a large cloth bag that is filled with feathers or other soft material and that you have on top of you in bed to keep yourself warm
dye,noun,a substance that is used to change the colour of things such as cloth or hair
dye,verb,"to change the colour of something, especially by using a special liquid or substance"
dynamic,adjective,1. having a lot of energy and a strong personality 2. always changing and making progress
e-book,noun,"a book that is displayed on a computer screen or on an electronic device that is held in the hand, instead of being printed on paper"
e-reader,noun,a small device on which you can store and read texts taken from the internet; an application on a device that enables you to do this
e-ticket,noun,"a ticket, for example a plane ticket, that you buy over the internet and receive on your computer or phone. Your purchase details are stored on computer so you do not need a paper ticket."
eBay,noun,to buy or sell goods on the website called eBay
eagle,noun,1. a large bird of prey (= a bird that kills other creatures for food) with a sharp curved beak and very good sight 2. a score of two strokes (= hits of the ball) less than the standard score for a hole (= two under par)
easy-going,adjective,relaxed and happy to accept things without worrying or getting angry
eat-in,adjective,1. big enough for eating in as well as cooking in 2. that you can eat in the restaurant
eco-friendly,adjective,not harmful to the environment
ecology,noun,the relation of plants and living creatures to each other and to their environment; the study of this
economical,adjective,1. providing good service or value in relation to the amount of time or money spent 2. using no more of something than is necessary
economics,noun,"1. the study of how a society organizes its money, trade and industry 2. the way in which money influences, or is organized within, an area of business or society"
economist,noun,a person who studies or writes about economics
ecosystem,noun,all the plants and living creatures in a particular area considered in relation to their physical environment
edit,verb,"1. to prepare a piece of writing, a book, etc. to be published by correcting the mistakes, making improvements to it, etc. 2. to make changes to text or data on screen"
edition,noun,"1. the form in which a book, newspaper, etc. is published 2. a version of a book or other text that is regularly revised"
editorial,noun,an important article in a newspaper that expresses the editor's opinion about an item of news or an issue; in the US also a comment on radio or television that expresses the opinion of the station or network
editorial,adjective,"connected with the task of preparing something such as a newspaper, a book or a television or radio programme, to be published or broadcast"
education,noun,"1. a process of teaching, training and learning, especially in schools, colleges or universities, to improve knowledge and develop skills 2. a particular kind of teaching or training"
effect,noun,"1. a change that somebody/something causes in somebody/something else; a result 2. a particular look, sound or impression that somebody, such as an artist or a writer, wants to create"
efficient,adjective,"doing something in a good, careful and complete way with no waste of time, money or energy"
efficiently,adverb,"in a good and careful way, with no waste of time, money or energy"
egg,noun,"1. a small oval object with a thin hard shell produced by a female bird and containing a young bird; a similar object (without a hard shell) produced by a female fish, insect, etc. 2. a bird’s egg, especially one from a chicken, that is eaten as food"
elbow,noun,1. the joint between the upper and lower parts of the arm where it bends in the middle 2. the part of a piece of clothing that covers the elbow
elderly,adjective,1. used as a polite word for ‘old’ 2. people who are old
eldest,adjective,1. oldest 2. used without a noun immediately after it to show who is the oldest of three or more people
elect,verb,1. to choose somebody to do a particular job by voting for them 2. to choose to do something
electrician,noun,"a person whose job is to connect, repair, etc. electrical equipment"
electronics,noun,"1. the branch of science and technology that studies electric currents in electronic equipment 2. the use of electronic technology, especially in developing new equipment 3. the electronic circuits and components (= parts) used in electronic equipment"
elegant,adjective,1. attractive and showing a good sense of style 2. attractive and designed well 3. clever but simple
elementary,adjective,1. in or connected with the first stages of a course of study 2. of the most basic kind 3. very simple and easy
eliminate,verb,1. to remove or get rid of something 2. to stop considering that somebody/something might be responsible for something or chosen for something
elsewhere,adverb,"in, at or to another place or other places"
embrace,verb,"1. to put your arms around somebody as a sign of love or friendship 2. to accept an idea, a proposal, a set of beliefs, etc., especially when it is done with enthusiasm 3. to include something"
emerge,verb,1. to move out of or away from something and become possible to see  2. to become known
emigrate,verb,to leave your own country to go and live permanently in another country
emission,noun,"1. the production or sending out of light, heat, gas, etc. 2. gas, etc. that is sent out into the air"
emotional,adjective,"1. connected with people’s feelings (= with the emotions) 2. causing people to feel strong emotions 3. showing strong emotions, sometimes in a way that other people think is unnecessary"
emotionally,adverb,1. in a way that is connected with people's feelings (= with the emotions) 2. in a way that causes people to feel strong emotions
emperor,noun,"1. the ruler of an empire 2. used to describe a situation in which everybody suddenly realizes that they were wrong to believe that somebody/something was very good, important, etc."
emphasis,noun,"1. special importance that is given to something 2. the extra force given to a word or phrase when spoken, especially in order to show that it is important; a way of writing a word (for example drawing a line below it) to show that it is important"
emphasize,verb,"1. to give special importance to something 2. to make something easier to notice 3. to give extra force to a word or phrase when you are speaking, especially to show that it is important"
empire,noun,1. a group of countries or states that are controlled by one leader or government 2. a group of commercial organizations controlled by one person or company 3. an area of activity controlled by one person or group
empty,adjective,1. with no people or things inside 2. with no meaning; not meaning what is said
enable,verb,"1. to make it possible for somebody/something to do something 2. to make it possible for something to happen or exist by creating the necessary conditions 3. to make a system, device or feature ready to use"
encounter,noun,"1. a meeting, especially one that is sudden, unexpected or violent 2. a sports match against a particular player or team 3. an incident in which police shoot dead a suspected criminal"
encounter,verb,"1. to experience something, especially something unpleasant or difficult, while you are trying to do something else 2. to meet somebody, or discover or experience something, especially somebody/something new, unusual or unexpected"
energetic,adjective,having or needing a lot of energy and enthusiasm
energy-saving,adjective,"designed to avoid wasting electricity, gas or other forms of energy"
engage,verb,"1. to succeed in attracting and keeping somebody’s attention and interest 2. to employ a person, company, etc. to do a particular job"
engine,noun,1. the part of a vehicle that produces power to make the vehicle move 2. a thing that has an important role in making a particular process happen
engineer,noun,"1. a person whose job involves designing and building engines, machines, roads, bridges, etc. 2. a person who is trained to repair machines and electrical equipment"
enhance,verb,"to increase or further improve the good quality, value or status of somebody/something"
enjoyable,adjective,giving pleasure
enjoyment,noun,1. the pleasure that you get from something 2. something that gives you pleasure 3. the fact of having and using something
enquiry,noun,1. an official process to find out the cause of something or to find out information about something 2. a request for information about somebody/something; a question about somebody/something
ensure,verb,to make sure that something happens or is definite
entertaining,adjective,"that you enjoy watching, listening to, doing or experiencing"
enthusiasm,noun,1. a strong feeling of excitement and interest in something and a desire to become involved in it 2. something that you are very interested in and spend a lot of time doing
enthusiastic,adjective,feeling or showing a lot of excitement and interest about somebody/something
entire,adjective,"including everything, everyone or every part "
entirely,adverb,in every way possible; completely
entrepreneur,noun,"a person who makes money by starting or running businesses, especially when this involves taking financial risks"
envelope,noun,"1. a flat paper container used for sending letters in, with a part that you stick down to close it 2. a flat container made of plastic for keeping papers in"
environmentalist,noun,a person who is interested in the natural environment and wants to improve and protect it
equal,noun,"1. a person or thing of the same quality or with the same status, rights, etc. as another 2. to be better than anything else or anyone else of the same type 3. the person or thing with the highest status in a group"
equator,noun,an imaginary line around the earth at an equal distance from the North and South Poles
equip,verb,"1. to provide yourself/somebody/something with the things that are needed for a particular purpose or activity 2. to prepare somebody for an activity or task, especially by teaching them what they need to know"
equivalent,adjective,"equal in value, amount, meaning, importance, etc."
equivalent,noun,"a thing, amount, word, etc. that is equal in value, meaning or purpose to something else"
era,noun,"1. a period of time, usually in history, that is different from other periods because of particular characteristics or events 2. a length of time that is a division of an aeon"
erosion,noun,"1. the process by which the surface of something is gradually destroyed through the action of wind, rain, etc. 2. the process of gradually destroying something or making it weaker over a period of time"
erupt,verb,"1. when a volcano erupts or burning rocks, smoke, etc. erupt or are erupted, the burning rocks, etc. are thrown out from the volcano 2. to start happening, suddenly and violently "
eruption,noun,"1. an occasion when a volcano suddenly throws out burning rocks, smoke, etc. 2. an occasion when something starts happening, suddenly and violently"
essentially,adverb,"when you think about the true, important or basic nature of somebody/something "
establish,verb,"1. to start or create an organization, a system, etc. that is meant to last for a long time 2. to start having a relationship, especially a formal one, with another person, group or country"
estate,noun,"1. an area of land with a lot of houses or factories of the same type on it 2. a large area of land, usually in the country, that is owned by one person or family"
estimate,noun,"1. a judgement that you make without having the exact details or figures about the size, amount, cost, etc. of something 2. a statement of how much a piece of work will probably cost"
estimate,verb,"to form an idea of the cost, size, value etc. of something, but without calculating it exactly"
ethic,noun,1. moral principles that control or influence a person’s behaviour 2. a system of moral principles or rules of behaviour 3. the branch of philosophy that deals with moral principles
ethical,adjective,1. connected with beliefs and principles about what is right and wrong 2. morally correct or acceptable
ethnic,adjective,1. connected with or belonging to a group of people that share a cultural tradition 2. typical of a country or culture that is very different from modern Western culture and therefore interesting for people in Western countries
etiquette,noun,"the formal rules of correct or polite behaviour in society, among members of a particular profession or in a particular area of activity"
evaluate,verb,"to form an opinion of the amount, value or quality of something after thinking about it carefully"
evaluation,noun,"the act of forming an opinion of the amount, value or quality of something after thinking about it carefully"
even,adjective,"1. that can be divided exactly by two 2. equal or the same for each person, team, place, etc."
evidence-based,adjective,used to describe an approach that is based on the practical application of research findings
evident,adjective,clear; easily seen
evil,adjective,1. enjoying harming others; morally bad and cruel 2. having a harmful effect on people; morally bad
evil,noun,1. a force that causes bad things to happen; morally bad behaviour 2. a bad or harmful thing; the bad effect of something
evolution,noun,"1. the slow steady development of plants, animals, etc. during the history of the earth, as they adapt to changes in their environment 2. the slow steady development of something"
evolve,verb,"1. to develop gradually, especially from a simple to a more complicated form; to develop something in this way 2. to develop over time, often many generations, into forms that are better adapted to survive changes in their environment"
examination,noun,"1. a formal written, spoken or practical test, especially at school or college, to see how much you know about a subject, or what you can do 2. the act of looking at or considering something very carefully 3. a close look at something/somebody, especially to see if there is anything wrong or to find the cause of a problem"
exceed,verb,"1. to be greater than a particular number or amount 2. to do more than the law or an order, etc. allows you to do 3. to be better than expected"
excel,verb,1. to be very good at doing something 2. to do extremely well and even better than you usually do
exception,noun,1. a person or thing that is not included in a general statement 2. a thing that does not follow a rule
excessive,adjective,greater than what seems reasonable or appropriate
excited,adjective,1. feeling or showing happiness and enthusiasm 2. nervous or upset and unable to relax 3. feeling sexual desire
exclude,verb,1. to deliberately not include something in what you are doing or considering 2. to prevent somebody/something from entering a place or taking part in something 3. to decide that something is not possible
excursion,noun,"1. a short journey made for pleasure, especially one that has been organized for a group of people 2. a short period of trying a new or different activity"
excuse,noun,"1. a reason, either true or invented, that you give to explain or defend your behaviour 2. a good reason that you give for doing something that you want to do for other reasons"
excuse,verb,"1. to forgive somebody for something that they have done, for example not being polite or making a small mistake 2. to make your or somebody else’s behaviour seem less offensive by finding reasons for it"
executive,noun,1. a person who has an important job as a manager of a company or an organization 2. a group of people who run a company or an organization 3. the part of a government responsible for putting laws into effect
executive,adjective,"1. connected with managing a business or an organization, and with making plans and decisions 2. having or using the power to put important laws and decisions into effect 3. expensive; for the use of somebody who is considered important"
exercise,verb,1. to do sports or other physical activities in order to stay healthy or become stronger; to make an animal do this 2. to give a part of the body the movement and activity it needs to keep strong and healthy
exercise,noun,1. physical or mental activity that you do to stay healthy or become stronger 2. a set of movements or activities that you do to stay healthy or develop a skill
exhausting,adjective,making you feel very tired
exhibit,noun,"1. an object or a collection of objects put in a public place, for example a museum, so that people can see it 2. a collection of things, for example works of art, that are shown to the public 3. a thing that is used in court to prove that somebody is guilty or not guilty"
exhibit,verb,"1. to show something in a public place for people to enjoy or to give them information 2. to show clearly that you have or feel a particular quality, ability, feeling or symptom"
existence,noun,"1. the state or fact of being real or living or of being present 2. a way of living, especially when this is difficult or boring"
exit,noun,1. a way out of a public building or vehicle 2. a place where vehicles can leave a road to join another road
exotic,adjective,"from or in another country, especially a tropical one; seeming exciting and unusual because it seems to be connected with foreign countries"
expansion,noun,"an act of increasing or making something increase in size, amount or importance"
expect,verb,"1. to think or believe that something will happen or that somebody will do something 2. to be waiting for somebody/something to arrive, as this has been arranged"
expectation,noun,1. a belief that something will happen because it is likely 2. a hope that something good will happen 3. a strong belief about the way something should happen or how somebody should behave
expense,noun,1. the money that you spend on something 2. something that makes you spend money
experiment,noun,"1. a scientific test that is done in order to study what happens and to gain new knowledge 2. a new activity, idea or method that you try out to see what happens or what effect it has"
expertise,noun,"expert knowledge or skill in a particular subject, activity or job"
exploit,verb,1. to treat a person or situation as an opportunity to gain an advantage for yourself 2. to treat somebody unfairly by making them work and not giving them much in return
exploration,noun,1. the act of travelling through a place in order to find out about it or look for something in it 2. an examination of something in order to find out about it
expose,verb,"1. to show something that is usually hidden 2. to tell the true facts about a person or a situation, and show them/it to be dishonest, illegal, etc."
exposure,noun,"1. the state of being in a place or situation where there is no protection from something harmful or unpleasant 2. the fact of having the true facts about somebody/something told after they have been hidden because they are bad, dishonest or illegal"
extend,verb,1. to make something longer or larger 2. to make something last longer
extension,noun,"1. the act of increasing the area of activity, group of people, etc. that is affected by something 2. a new room or rooms that are added to a house"
extensive,adjective,1. covering a large area; great in amount 2. including or dealing with a wide range of information
extensively,adverb,1. in a way that covers a large area 2. in a way that includes or deals with a wide range of information 3. to a large degree; a great amount
extent,noun,"1. how large, important, serious, etc. something is 2. the physical size of an area 3. used to show how far something is true or how great an effect it has"
external,adjective,"1. connected with or located on the outside of something/somebody 2. happening or coming from outside a place, an organization, your particular situation, etc."
extinct,adjective,1. no longer in existence 2. no longer in existence in society 3. no longer active
extinction,noun,"a situation in which a plant, an animal, a way of life, etc. stops existing"
extract,noun,"1. a short passage from a book, piece of music, etc. that gives you an idea of what the whole thing is like 2. a substance that has been obtained from something else using a particular process"
extraordinary,adjective,"1. unexpected, surprising or strange 2. not normal or ordinary; greater or better than usual"
extravert,noun,a lively and confident person who enjoys being with other people
extreme,noun,"1. a feeling, situation, way of behaving, etc. that is as different as possible from another or is opposite to it 2. the greatest or highest degree of something"
extrovert,noun,a lively and confident person who enjoys being with other people
eye,noun,1. either of the two organs on the face that you see with 2. having the type or number of eyes mentioned
eyebrow,noun,1. the line of hair above the eye 2. to have a lot of something to deal with 3. to show that you think something is bad or are surprised by something
eyewitness,noun,"a person who has seen a crime, accident, etc. and can describe it afterwards"
fabric,noun,"1. material made by weaving wool, cotton, silk, etc., used for making clothes, curtains, etc. and for covering furniture 2. the basic structure of a society, an organization, etc. that enables it to function successfully 3. the basic structure of a building, such as the walls, floor and roof"
fabulous,adjective,1. extremely good 2. very great 3. appearing in fables
facility,noun,"1. buildings, services, equipment, etc. that are provided for a particular purpose 2. a place, usually including buildings, used for a particular purpose or activity"
fact-check,noun,"an investigation of an issue, with the aim of checking that the facts are given correctly"
fact-check,verb,to investigate an issue in order to check that the facts are given correctly
fail,verb,1. to not be successful in achieving something 2. to not pass a test or an exam; to decide that somebody/something has not passed a test or an exam
failed,adjective,not successful
failure,noun,1. lack of success in doing or achieving something 2. a person or thing that is not successful
fair,adjective,1. acceptable and appropriate in a particular situation 2. treating everyone equally and according to the rules or law
fair-trade,adjective,involving trade that supports producers in developing countries by paying fair prices and making sure that workers have good working conditions and fair pay
faith,noun,1. trust in somebody’s ability or knowledge; trust that somebody/something will do what has been promised 2. strong religious belief
faith-based,adjective,connected with or based on a religion or religious group
fake,adjective,1. not what somebody claims it is; appearing to be something it is not 2. made to look like something else
fake,verb,"1. to make something false appear to be real, especially in order to cheat somebody 2. to pretend to have a particular feeling, illness, etc."
false,adjective,1. wrong; not correct or true 2. not natural
fame,noun,"1. the state of being known and talked about by many people 2. a short period of being famous 3. to suddenly become famous, especially as a singer or actor"
family,noun,"1. a group consisting of one or two parents and their children 2. a group consisting of one or two parents, their children and close relations"
famine,noun,a lack of food during a long period of time in a region
fantasy,noun,1. a pleasant situation that you imagine but that is unlikely to happen 2. a product of your imagination
fare,noun,"1. the money that you pay to travel by bus, plane, taxi, etc. 2. a passenger in a taxi"
farming,noun,the business of managing or working on a farm
fascinated,adjective,very interested
fashion-conscious,adjective,aware of the latest fashions and wanting to follow them
fastball,noun,a ball that is thrown at the pitcher's fastest speed
fault,noun,1. the responsibility for something wrong that has happened or been done 2. a bad or weak aspect of somebody’s character
favour,verb,"1. to prefer one system, plan, way of doing something, etc. to another 2. to treat one person, group or organization better than you treat others, especially in an unfair way"
fearful,adjective,1. nervous and afraid 2. terrible and frightening 3. extremely bad
feather,noun,1. one of the many soft light parts covering a bird’s body 2. people of the same sort (are found together)
federal,adjective,"1. having a system of government in which the individual states of a country have control over their own affairs, but are controlled by a central government for national decisions, etc. 2. (within a federal system, for example the US and Canada) connected with national government rather than the local government of an individual state"
federally,adverb,1. using a federal system of government 2. in a way that is connected with or done by national government rather than the local government of an individual state
fee,noun,"1. an amount of money that you pay for professional advice or services 2. an amount of money that you pay to join an organization, or to do something"
feed,noun,1. a meal of milk for a young baby; a meal for an animal 2. food for animals or plants
feedback,noun,"1. advice, criticism or information about how good or useful something or somebody’s work is 2. the unpleasant noise produced by electrical equipment such as an amplifier when some of the power returns to the system"
feel,noun,1. the feeling you get when you touch something or are touched 2. an act of feeling or touching
